Post,Year,Region,Female,Male,Total Volunteers at Post,Agriculture,Business Development,Education,Environment,Health & HIV/AIDS,Youth,Other,African American,Asian American,Caucasian,Hispanic,Mixed Ethnicity,Native American,No Response,20s,30s,40s,50s,60s,70s,80s
Mexico,2011,IAP,42,44,86,,48,1,36,,,1,,5,71,3,2,1,4,24,20,13,14,14,1,
Mexico,2012,IAP,46,39,85,,39,1,42,,,3,,5,66,6,2,,6,34,18,7,13,13,,
Micronesia,2009,IAP,43,30,73,,,72,1,,,,1,5,57,2,4,,4,65,4,,1,3,,
Micronesia,2010,IAP,41,28,69,,,69,,,,,,8,50,4,3,,4,64,3,,1,1,,
Micronesia,2011,IAP,21,14,35,,,35,,,,,,4,26,3,,,2,31,3,,,1,,
Micronesia,2012,IAP,27,13,40,,,39,,,,1,1,4,26,3,1,,5,34,3,,1,2,,
Moldova,2009,EMA,72,54,126,32,36,33,,25,,,2,5,97,7,2,,13,99,15,2,6,3,1,
Moldova,2010,EMA,61,56,117,23,31,40,,23,,,6,2,93,3,3,,10,100,9,2,3,3,,
Moldova,2011,EMA,66,54,120,26,30,37,,27,,,5,1,103,2,1,,8,101,11,2,2,4,,
Moldova,2012,EMA,62,48,110,27,31,27,,25,,,3,,97,4,,,6,81,7,5,8,9,,
Mongolia,2009,EMA,59,60,119,,14,93,,12,,,3,10,83,4,4,,15,105,9,2,,2,1,
Mongolia,2010,EMA,65,66,131,,14,100,,17,,,5,6,97,8,3,,12,115,9,4,1,1,1,
Mongolia,2011,EMA,63,73,136,,12,109,,14,,1,5,4,107,8,2,,10,109,16,4,4,3,,
Mongolia,2012,EMA,67,74,141,,13,97,,19,10,2,5,12,100,11,3,,10,117,16,3,3,2,,
Morocco,2009,EMA,152,108,260,,76,81,45,58,,,6,11,194,12,10,1,26,222,15,5,6,10,1,1
Morocco,2010,EMA,168,121,289,,76,94,50,68,,1,9,18,214,12,11,,25,239,19,3,9,17,1,1
Morocco,2011,EMA,167,98,265,,47,96,45,75,,2,9,18,194,9,13,,22,212,23,2,6,21,1,
Morocco,2012,EMA,155,81,236,,24,162,18,32,,,13,16,172,10,9,1,15,202,15,2,5,12,,
Mozambique,2009,AF,123,57,180,,,119,,61,,,8,9,129,16,4,,14,168,10,2,,,,
Mozambique,2010,AF,139,64,203,,,126,,69,,8,14,12,141,19,2,,15,184,14,2,1,2,,
Mozambique,2011,AF,145,63,208,,,137,,71,,,8,13,145,21,6,1,14,193,11,1,1,1,1,
Mozambique,2012,AF,152,74,226,,,149,,77,,,12,10,155,21,9,1,18,212,7,1,2,4,,
Namibia,2009,AF,86,48,134,,,114,,20,,,5,8,102,2,6,,11,113,9,2,5,5,,
Namibia,2010,AF,87,50,137,,,96,,41,,,8,8,100,4,3,,14,122,4,2,7,2,,
Namibia,2011,AF,94,49,143,,,98,,42,,3,10,8,108,2,6,,9,125,7,3,6,2,,
Namibia,2012,AF,90,50,140,,,102,,36,,2,9,6,103,7,7,,8,124,5,4,4,3,,
Nepal,2012,EMA,10,10,20,10,,,,10,,,,1,13,3,1,,2,19,1,,,,,
Nicaragua,2009,IAP,130,75,205,53,32,36,49,34,,1,2,9,150,21,7,,16,186,9,,1,8,1,
Nicaragua,2010,IAP,138,80,218,47,37,41,57,36,,,1,6,171,23,2,1,14,199,12,1,1,5,,
Nicaragua,2011,IAP,164,91,255,43,45,51,55,61,,,5,11,184,30,6,1,18,231,15,2,1,4,2,
Nicaragua,2012,IAP,154,77,231,37,39,47,45,63,,,5,9,161,30,7,,19,219,7,1,,3,1,
Niger,2009,AF,87,39,126,31,26,32,25,12,,,4,4,105,2,3,,8,119,6,1,,,,
Niger,2010,AF,54,20,74,8,24,33,6,3,,,4,4,62,,2,,2,68,5,1,,,,
Panama,2009,IAP,97,85,182,33,70,,75,,,4,3,4,131,8,10,,26,149,19,3,8,2,1,
Panama,2010,IAP,100,104,204,28,90,,82,,,4,7,6,152,16,6,,17,171,18,4,5,5,1,
Panama,2011,IAP,132,91,223,35,50,41,75,17,,5,6,7,165,20,4,,21,197,18,1,2,4,1,
Panama,2012,IAP,147,90,237,43,19,69,89,16,,1,6,6,176,26,6,,17,211,17,,2,7,,
Paraguay,2009,IAP,128,93,221,56,39,17,56,35,,18,9,11,160,18,3,,20,200,12,3,3,2,1,
